# MBC command catalog for LLM lookup
# 366 modules, 6009 commands. One JSON object per line in mbc_commands.jsonl
# Read one module: Read Sphere.NetworkProtocol/mbc_commands.jsonl offset=<line> limit=<count>
# Grep: rg '"t":210,' Sphere.NetworkProtocol/mbc_commands.jsonl
# Grep: rg '"n":"TransformUpdate"' Sphere.NetworkProtocol/mbc_commands.jsonl
# Fields: t=module_tag m=module r=region h=handler c=cmd n=readable_name
#         s=source dir=C2S/S2C orig=catalog_name w=wire_schema sum=summary u=unpack
# tag	module	line	count
424	ct_chest_pr	2685	20
425	ct_ibag	2705	22
426	ct_gbag	2727	22
427	ct_mbook4	2749	21
428	vn_stonea	2770	19
429	mg_gmagicpot	2789	22
430	ct_sbag	2811	22
431	vn_purge	2833	20
432	pw_courage	2853	20
433	pw_couragef	2873	20
434	vn_exp	2893	19
435	ar_amulet_refr	2912	19
436	vn_ret	2931	19
437	vn_ret_2010	2950	19
438	vn_ret1	2969	19
439	pw_fistpwr	2988	19
440	vn_karma	3007	19
441	vn_tokensin	3026	19
442	ct_cbook1	3045	19
443	pw_couragef1	3064	20
444	ct_cbook2	3084	19
445	vn_karma1	3103	19
446	vn_snowman	3122	21
447	mortar	3143	17
448	vn_summon	3160	21
449	vn_candy	3181	21
451	pw_finish	3202	19
452	pw_fb01	3221	19
453	pw_fb02	3240	19
454	pw_amilus	3259	19
455	pw_fb03	3278	21
456	pw_fb04	3299	19
457	pw_fb05	3318	19
458	vn_mirror	3337	21
470	pw_heal1	3358	19
471	pw_elixir	3377	19
472	pw_elixir1	3396	19
473	pw_fixhunger	3415	19
474	vn_randbox	3434	19
475	tournament	3453	15
476	monster_trap	3468	15
477	monster_event	3483	23
478	vn_tnmnt_randbox	3506	19
500	wp_sword1	3525	19
501	wp_axe1	3544	19
502	wp_arbalest1	3563	19
503	wp_arrow1	3582	19
504	wp_aroma	3601	19
505	wp_sword1u	3620	19
506	wp_sword1st	3639	19
507	wp_axe_boar	3658	19
550	jw_diamond	3677	19
551	jw_diamring	3696	19
552	jw_rubyring	3715	19
553	jw_ruby	3734	19
554	jw_gold	3753	19
555	jw_ring	3772	19
600	al_mineral	3791	19
601	al_flower	3810	19
602	al_metal	3829	19
650	fd_apple	3848	19
651	fd_pear	3867	19
652	fd_jerky	3886	19
653	fd_scon	3905	19
654	fd_fish	3924	19
655	fd_stockfish	3943	19
700	st_brushwood	3962	19
701	st_key	3981	19
702	st_light1	4000	19
703	st_map	4019	19
704	st_chern	4038	19
705	st_light2	4057	19
706	st_ear	4076	20
707	st_coin	4096	19
708	st_string	4115	21
709	st_loot	4136	19
710	st_key2	4155	19
711	st_light3	4174	19
712	st_light4	4193	19
713	fir	4212	15
714	st_shamp	4227	21
715	rhomb	4248	19
716	lottery	4267	20
718	rock	4287	15
750	ar_armor	4302	19
751	ar_amulet	4321	19
752	ar_shoes	4340	19
753	ar_shoes2	4359	19
754	ar_gloves	4378	19
755	ar_belt	4397	19
756	ar_shield	4416	19
757	ar_helm	4435	19
758	ar_pants	4454	19
759	ar_bracelet	4473	19
760	ar_ring	4492	19
761	ar_armor2	4511	19
762	ar_ring_s	4530	19
770	ar_armoru	4549	19
771	ar_amuletu	4568	19
772	ar_shoesu	4587	19
773	ar_shoes2u	4606	19
774	ar_glovesu	4625	19
775	ar_beltu	4644	19
776	ar_shieldu	4663	19
777	ar_helmu	4682	19
778	ar_pantsu	4701	19
779	ar_braceletu	4720	19
780	ar_ringu	4739	19
781	ar_armor2u	4758	19
800	mg_magicpot	4777	22
801	mg_corn	4799	19
802	mg_eye	4818	19
803	mg_magicstove	4837	19
804	formula	4856	20
805	mg_workshop	4876	28
806	flag	4904	19
900	vn_well	4923	19
901	vn_stonew	4942	19
902	vn_stoneb	4961	19
903	vn_cryst	4980	15
904	vn_crystq	4995	16
950	ar_armorf	5011	19
951	ar_amuletf	5030	19
952	ar_shoesf	5049	19
953	ar_glovesf	5068	19
954	ar_beltf	5087	19
955	ar_shieldf	5106	19
956	ar_helmf	5125	19
957	ar_pantsf	5144	19
958	ar_braceletf	5163	19
959	ar_ringf	5182	19
960	ar_armor2f	5201	19
961	wp_sword1f	5220	19
962	wp_axe1f	5239	19
963	wp_arbalest1f	5258	19
990	ar_helm_pr	5277	19
1000	mg_mantraw	5296	23
1001	mg_mantrab	5319	23
2000	guild	5342	19
2001	specab	5361	23
2002	specab_ga	5384	25
2003	specab_ha	5409	23
2004	specab_ba	5432	23
2005	specab_ca	5455	23
2006	specab_ea	5478	23
2007	specab_gb	5501	23
2008	specab_fa	5524	23
2009	specab_ic	5547	25
2010	specab_ma	5572	23
2011	specab_mb	5595	23
2012	specab_mc	5618	23
2013	specab_na	5641	23
2014	specab_nb	5664	23
2015	specab_nc	5687	23
3000	_pcontrol	5710	23
3001	vir1000	5733	1
3002	vir1001	5734	1
3003	vir1002	5735	1
3004	vir1003	5736	1
3005	vir1004	5737	1
3006	vir1005	5738	1
3007	vir1006	5739	1
3008	vir1007	5740	1
3009	vir1008	5741	1
3010	vir1009	5742	1
3011	vir1010	5743	1
3012	vir1011	5744	1
3013	vir1012	5745	1
3014	vir1013	5746	1
3015	vir1014	5747	1
3016	vir1015	5748	1
3017	vir1016	5749	1
3018	vir1017	5750	1
3019	vir1018	5751	1
3020	vir1019	5752	1
3021	vir1020	5753	1
3022	vir1021	5754	1
3023	vir1022	5755	1
3024	vir1023	5756	1
3025	vir1024	5757	1
3026	vir1025	5758	1
3027	vir1026	5759	1
3028	vir1027	5760	1
3029	vir1028	5761	1
3030	vir1030	5762	1
3031	vir1031	5763	1
3032	vir1032	5764	1
3033	vir1034	5765	1
3034	vir1035	5766	1
3035	vir1036	5767	1
3036	vir1037	5768	1
3037	vir1038	5769	1
3038	vir1039	5770	1
3047	vir1111	5771	1
3048	vir2020	5772	1
3049	vir2021	5773	1
3050	_ai	5774	3
3051	_char	5777	4
3056	vir1040	5781	1
3057	vir1041	5782	1
3058	vir1042	5783	1
3059	vir1043	5784	1
3060	vir1044	5785	1
3061	vir1045	5786	1
3062	vir1046	5787	1
3063	vir1047	5788	1
3064	_files	5789	1
3065	_gmsg	5790	1
3066	_inv	5791	12
3067	_invalch	5803	12
3068	_inventory	5815	11
3069	_mission	5826	9
3070	_puppet	5835	11
3071	_table	5846	13
3072	_trade	5859	10
3073	_tradegold	5869	9
3074	shop	5878	22
3075	claim_blank	5900	19
3076	vir1048	5919	1
3077	vir1049	5920	1
3078	_player_webshop	5921	1
3079	vir1050	5922	1
3080	token_s	5923	21
3081	npc_father_frost	5944	20
3082	vir1051	5964	1
3083	tmnt_hostage	5965	23
3084	ct_bag_herb	5988	22
