0FC1	NpcBanker	FULL_SPAWN	391.8514099121094	153.3668975830078	-1301.2379150390625	158	270	0	Р‘РЊР™РґС’4	184	Р‘РЊ}вЂ°вЂ¦в„–В­вЂўР™4В вЂ  	0 -- мартин иден (270)
136C	NpcQuestTitle	FULL_SPAWN	393.2054748535156	152.91183471679688	-1290.3740234375	154	402	0		16	npc_quest_title 	0
136D	NpcQuestTitle	FULL_SPAWN	2306.6943359375	155.50726318359375	-2393.58740234375	0	405	0		16	npc_quest_title 	0
136E	NpcQuestTitle	FULL_SPAWN	2795.890869140625	159.82127380371094	1437.44775390625	128	500	0		16	npc_quest_title 	0
136F	NpcQuestDegree	FULL_SPAWN	2285.999267578125	159.90208435058594	1396.028564453125	64	501	0		16	npc_quest_dgree 	0
1370	NpcQuestTitle	FULL_SPAWN	3231.497314453125	159.80093383789062	589.6370849609375	99	502	0		0		0
1371	NpcQuestDegree	FULL_SPAWN	491.73260498046875	159.84930419921875	-202.95440673828125	47	503	0		16	npc_quest_dgree 	0
1372	NpcQuestDegree	FULL_SPAWN	2812.246826171875	159.67591857910156	-539.9315795898438	192	504	0		16	npc_quest_dgree 	0
1373	NpcQuestDegree	FULL_SPAWN	3092.8134765625	159.85000610351562	-1700.1209716796875	36	505	0		16	npc_quest_dgree 	0
1374	NpcQuestTitle	FULL_SPAWN	799.765380859375	159.88291931152344	-2430.864013671875	192	506	0		16	npc_quest_title 	0
1375	NpcQuestDegree	FULL_SPAWN	1606.3507080078125	159.87892150878906	-3293.496826171875	207	507	0		16	npc_quest_dgree 	0
1376	NpcQuestDegree	FULL_SPAWN	2693.84375	159.89039611816406	1306.2283935546875	105	406	0		16	npc_quest_dgree 	0
1377	NpcQuestDegree	FULL_SPAWN	2333.1484375	156.56809997558594	-2462.076904296875	61	408	0		16	npc_quest_dgree 	0
1378	NpcQuestDegree	FULL_SPAWN	344.1406555175781	160.0685577392578	-1405.1883544921875	230	407	0		16	npc_quest_dgree 	0
137A	NpcQuestKarma	FULL_SPAWN	2260.17431640625	159.8035888671875	580.3991088867188	55	109	0		0		0
137C	NpcQuestKarma	FULL_SPAWN	2927.68115234375	158.8534698486328	-629.9287719726562	166	111	0		16	npc_quest_karma 	0
137D	NpcQuestKarma	FULL_SPAWN	194.12448120117188	159.8336181640625	-634.8463745117188	129	112	0		16	npc_quest_karma 	0
137E	NpcQuestKarma	FULL_SPAWN	627.1011352539062	159.82894897460938	-1811.0916748046875	175	113	0		16	npc_quest_karma 	0
137F	NpcQuestKarma	FULL_SPAWN	2331.3212890625	159.4435577392578	-2121.552490234375	198	114	0		16	npc_quest_karma 	0
1380	NpcQuestKarma	FULL_SPAWN	1409.97119140625	159.73321533203125	-3329.001708984375	146	115	0		0		0
138B	NpcQuestTitle	FULL_SPAWN	-3427.310302734375	-335.2809143066406	-909.4776000976562	190	417	0		0		0
138C	NpcQuestDegree	FULL_SPAWN	-3371.598388671875	-339.3963623046875	-1006.1749877929688	38	418	0		16	npc_quest_dgree 	0
13F5	NpcTournament	FULL_SPAWN	296.15264892578125	159.9118194580078	-1392.325439453125	179	390	16	npc55           	12	npc_guilder 	0
13F6	NpcTournament	FULL_SPAWN	2291.399658203125	159.62852478027344	-2294.845458984375	101	391	16	npc55           	12	npc_guilder 	0
13F7	NpcTournament	FULL_SPAWN	2639.221923828125	157.60865783691406	1239.19970703125	134	392	16	npc55           	12	npc_guilder 	0
13F8	NpcTournament	FULL_SPAWN	1993.3101806640625	159.90142822265625	-387.4808349609375	5	393	16	npc55           	12	npc_guilder 	0
140E	NpcQuestTitle	FULL_SPAWN	-2693.3056640625	402.8271179199219	2106.41259765625	0	409	0		16	npc_quest_title 	0
140F	NpcQuestTitle	FULL_SPAWN	1883.09521484375	402.76763916015625	3302.30712890625	183	410	0		16	npc_quest_title 	0
1410	NpcQuestDegree	FULL_SPAWN	-2725.12451171875	404.50872802734375	2057.09228515625	142	411	0		16	npc_quest_dgree 	0
1411	NpcQuestDegree	FULL_SPAWN	1867.242431640625	402.6952209472656	3277.900390625	0	412	0		16	npc_quest_dgree 	0
1412	NpcQuestKarma	FULL_SPAWN	-702.9442749023438	403.7557678222656	984.1763916015625	0	185	0		16	npc_quest_karma 	0
1413	NpcQuestKarma	FULL_SPAWN	-198.75320434570312	408.4645080566406	2401.1982421875	0	186	0		16	npc_quest_karma 	0
1414	NpcQuestTitle	FULL_SPAWN	-2032.1412353515625	-108.76793670654297	477.8769226074219	150	413	0		16	npc_quest_title 	0
1415	NpcQuestDegree	FULL_SPAWN	-1878.5946044921875	-91.00291442871094	491.3397216796875	25	414	0		16	npc_quest_dgree 	0
141A	NpcQuestKarma	FULL_SPAWN	-3380.352294921875	-342.8089904785156	-1755.156005859375	220	419	0		16	npc_quest_karma 	0
141B	NpcTrade	FULL_SPAWN	1902.935546875	156.0006561279297	-415.1872863769531	121	0	6	npc08 	15	npc_trade_wpon 	11
141C	NpcTrade	FULL_SPAWN	2590.675048828125	156.77105712890625	1314.97900390625	152	1	7	npc14b 	16	npc_trade_jewel 	8
141D	NpcTrade	FULL_SPAWN	2594.700927734375	157.47463989257812	1293.375732421875	227	2	6	npc08 	15	npc_trade_wpon 	11
141E	NpcTrade	FULL_SPAWN	1888.38037109375	156.99612426757812	-433.2471008300781	213	3	7	npc14b 	16	npc_trade_jewel 	8
141F	NpcTrade	FULL_SPAWN	390.99884033203125	153.36358642578125	-1308.5076904296875	193	4	6	npc08 	15	npc_trade_wpon 	11
1421	NpcTrade	FULL_SPAWN	421.5490417480469	153.04205322265625	-1315.525634765625	59	5	7	npc14b 	16	npc_trade_jewel 	8
1422	NpcTrade	FULL_SPAWN	2284.81689453125	155.80453491210938	-2414.328369140625	0	6	6	npc08 	15	npc_trade_wpon 	11
1423	NpcTrade	FULL_SPAWN	2323.652587890625	157.29403686523438	-2417.741455078125	0	7	7	npc14b 	16	npc_trade_jewel 	8
1424	NpcTrade	FULL_SPAWN	2611.1171875	157.59185791015625	1279.7625732421875	212	8	7	npc29c 	16	npc_trade_armor 	7
1425	NpcTrade	FULL_SPAWN	2581.196533203125	157.85597229003906	1300.843994140625	0	9	7	npc29b 	16	npc_trade_travl 	10
1426	NpcTrade	FULL_SPAWN	2599.40673828125	156.81796264648438	1304.6029052734375	179	10	6	npc14 	16	npc_trade_magic 	9
1427	NpcTrade	FULL_SPAWN	1890.6171875	155.72084045410156	-402.5325927734375	93	11	7	npc29c 	16	npc_trade_armor 	7
1428	NpcTrade	FULL_SPAWN	1885.2066650390625	155.61386108398438	-410.4250183105469	238	12	7	npc29b	16	npc_trade_travl 	10
1429	NpcTrade	FULL_SPAWN	1899.8375244140625	155.95440673828125	-412.2926025390625	107	13	6	npc14 	16	npc_trade_magic 	9
142A	NpcTrade	FULL_SPAWN	424.3810729980469	153.4665069580078	-1287.3048095703125	90	14	7	npc29c 	16	npc_trade_armor 	7
142B	NpcTrade	FULL_SPAWN	401.7098388671875	153.37973022460938	-1271.2132568359375	0	15	7	npc29b 	16	npc_trade_travl 	10
142C	NpcTrade	FULL_SPAWN	379.60400390625	152.9311981201172	-1280.728515625	0	16	6	npc14 	16	npc_trade_magic 	6
142D	NpcTrade	FULL_SPAWN	2290.556640625	156.70428466796875	-2435.25732421875	241	17	7	npc29c 	16	npc_trade_armor 	7
142E	NpcTrade	FULL_SPAWN	2296.175537109375	155.4893341064453	-2374.5439453125	147	18	7	npc29a 	16	npc_trade_travl 	10
142F	NpcTrade	FULL_SPAWN	2308.30908203125	155.45452880859375	-2407.603271484375	78	19	6	npc14 	16	npc_trade_magic 	9
1430	NpcTrade	FULL_SPAWN	-3709.636962890625	1099.98046875	-3897.1337890625	192	200	7	npc29c 	16	npc_tavernkeepr 	5
1431	NpcTrade	FULL_SPAWN	-3502.36181640625	1102.7122802734375	-3907.075439453125	192	201	7	npc29c 	16	npc_tavernkeepr 	5
1432	NpcTrade	FULL_SPAWN	-3096.21337890625	1100.0174560546875	-3893.6103515625	165	202	7	npc29c 	16	npc_tavernkeepr 	5
1433	NpcTrade	FULL_SPAWN	-2907.0498046875	1102.73291015625	-3897.532470703125	133	203	7	npc29c 	16	npc_tavernkeepr 	5
1436	NpcTrade	FULL_SPAWN	2975.05126953125	159.87203979492188	1192.4783935546875	235	250	7	npc29a 	16	npc_trade_travl 	10
1437	NpcTrade	FULL_SPAWN	2076.925537109375	159.72836303710938	-209.860107421875	231	251	7	npc29a 	16	npc_trade_travl 	10
1438	NpcTrade	FULL_SPAWN	389.7608642578125	159.83941650390625	-998.3557739257812	99	252	7	npc29a 	16	npc_trade_travl 	10
1439	NpcTrade	FULL_SPAWN	2274.51220703125	159.85491943359375	-2709.23974609375	0	253	7	npc29a 	16	npc_trade_travl 	10
143B	NpcTrade	FULL_SPAWN	2799.814208984375	159.82620239257812	1442.5394287109375	128	100	7	npc29c 	16	npc_trade_travl 	10
143C	NpcTrade	FULL_SPAWN	2303.41455078125	159.8238067626953	1385.2393798828125	64	101	6	npc29 	16	npc_trade_travl 	10
143D	NpcTrade	FULL_SPAWN	3214.640380859375	159.80706787109375	588.7894287109375	128	102	7	npc29a 	16	npc_trade_travl 	10
143E	NpcTrade	FULL_SPAWN	515.3364868164062	159.84490966796875	-197.91725158691406	64	103	7	npc29b 	16	npc_trade_travl 	10
143F	NpcTrade	FULL_SPAWN	2827.136962890625	159.82249450683594	-502.8922119140625	128	104	6	npc29 	16	npc_trade_travl 	10
1440	NpcTrade	FULL_SPAWN	3110.824462890625	159.84292602539062	-1700.143310546875	64	105	7	npc29a 	16	npc_trade_travl 	10
1441	NpcTrade	FULL_SPAWN	804.7385864257812	159.8944549560547	-2443.815673828125	0	106	7	npc29b 	16	npc_trade_travl 	10
1442	NpcTrade	FULL_SPAWN	1601.02490234375	159.86154174804688	-3275.84912109375	128	107	6	npc29 	16	npc_trade_travl 	10
1443	NpcTrade	FULL_SPAWN	1158.455322265625	158.0693817138672	1671.47265625	139	182	7	npc29c 	16	npc_trade_travl 	10
1444	NpcTrade	FULL_SPAWN	2489.101318359375	159.87765502929688	1106.821044921875	47	120	6	npc08 	15	npc_trade_wpon 	11
1445	NpcTrade	FULL_SPAWN	2089.937255859375	159.833740234375	-389.92108154296875	108	121	6	npc08 	15	npc_trade_wpon 	11
1446	NpcTrade	FULL_SPAWN	381.9093017578125	159.8448028564453	-1493.45068359375	36	122	6	npc08 	15	npc_trade_wpon 	11
1447	NpcTrade	FULL_SPAWN	2400.3232421875	159.8988037109375	-2268.934326171875	94	123	6	npc08 	15	npc_trade_wpon 	11
1448	NpcTrade	FULL_SPAWN	2487.969482421875	159.8859100341797	1112.7880859375	96	152	7	npc29a 	16	npc_trade_armor 	7
1449	NpcTrade	FULL_SPAWN	2091.567626953125	159.85472106933594	-399.5446472167969	46	153	7	npc29a 	16	npc_trade_armor 	7
144A	NpcTrade	FULL_SPAWN	380.04248046875	159.56936645507812	-1485.72265625	87	154	7	npc29a 	16	npc_trade_armor 	7
144B	NpcTrade	FULL_SPAWN	2399.96923828125	159.8829345703125	-2274.473876953125	48	155	7	npc29a 	16	npc_trade_armor 	7
144C	NpcTrade	FULL_SPAWN	3220.40966796875	159.84698486328125	596.9954223632812	126	124	6	npc08 	15	npc_trade_wpon 	11
144D	NpcTrade	FULL_SPAWN	2819.894775390625	159.83755493164062	-514.0241088867188	216	125	6	npc08 	15	npc_trade_wpon 	11
144E	NpcTrade	FULL_SPAWN	3103.177734375	159.913818359375	-1693.39208984375	108	126	6	npc08 	15	npc_trade_wpon 	11
144F	NpcTrade	FULL_SPAWN	510.4586181640625	159.86244201660156	-193.44647216796875	142	127	6	npc08 	15	npc_trade_wpon 	11
1450	NpcTrade	FULL_SPAWN	3219.63916015625	159.67843627929688	580.4173583984375	0	156	7	npc29a 	16	npc_trade_armor 	7
1451	NpcTrade	FULL_SPAWN	2836.88671875	159.90423583984375	-507.91680908203125	78	157	7	npc29a 	16	npc_trade_armor 	7
1452	NpcTrade	FULL_SPAWN	3093.01708984375	159.83935546875	-1689.9552001953125	150	158	7	npc29a 	16	npc_trade_armor 	7
1453	NpcTrade	FULL_SPAWN	501.4715576171875	159.880859375	-192.81661987304688	132	159	7	npc29a 	16	npc_trade_armor	7
1454	NpcTrade	FULL_SPAWN	892.1849365234375	159.8401641845703	-2959.98095703125	247	128	6	npc08 	15	npc_trade_wpon 	11
1455	NpcTrade	FULL_SPAWN	1398.94921875	159.9126434326172	565.4768676757812	112	129	6	npc08 	15	npc_trade_wpon 	11
1456	NpcTrade	FULL_SPAWN	2694.3984375	159.91184997558594	-1278.851318359375	63	130	6	npc08 	15	npc_trade_wpon 	11
1457	NpcTrade	FULL_SPAWN	3089.941162109375	159.788818359375	2090.40478515625	233	131	6	npc08 	15	npc_trade_wpon 	11
1458	NpcTrade	FULL_SPAWN	887.0680541992188	159.78732299804688	-2955.8125	205	160	7	npc29b 	16	npc_trade_armor 	7
1459	NpcTrade	FULL_SPAWN	1399.7869873046875	159.894775390625	556.4088745117188	25	161	7	npc29b 	16	npc_trade_armor 	7
145A	NpcTrade	FULL_SPAWN	2686.617919921875	159.73562622070312	-1285.33837890625	224	162	7	npc29b 	16	npc_trade_armor 	7
145B	NpcTrade	FULL_SPAWN	3095.673828125	159.86770629882812	2098.937255859375	102	163	7	npc29b 	16	npc_trade_armor 	7
145C	NpcTrade	FULL_SPAWN	262.39373779296875	159.0016326904297	950.9672241210938	132	132	6	npc08 	15	npc_trade_wpon 	11
145D	NpcTrade	FULL_SPAWN	3760.47900390625	159.81231689453125	-2141.84375	3	133	6	npc08 	15	npc_trade_wpon 	11
145E	NpcTrade	FULL_SPAWN	267.50543212890625	159.50531005859375	964.2222900390625	53	164	7	npc29b 	16	npc_trade_armor 	7
145F	NpcTrade	FULL_SPAWN	3744.291748046875	158.0713653564453	-2137.799560546875	197	165	7	npc29b 	16	npc_trade_armor 	7
1460	NpcTrade	FULL_SPAWN	2585.567626953125	159.93740844726562	1423.987548828125	64	136	6	npc14 	16	npc_trade_magic 	9
1461	NpcTrade	FULL_SPAWN	1675.47607421875	159.22691345214844	-479.6662902832031	36	137	6	npc14 	16	npc_trade_magic 	9
1463	NpcTrade	FULL_SPAWN	337.371826171875	158.51605224609375	-1453.380859375	218	138	6	npc14 	16	npc_trade_magic 	9
1464	NpcTrade	FULL_SPAWN	2367.798828125	158.52059936523438	-2069.105712890625	73	139	6	npc14 	16	npc_trade_magic 	9
1465	NpcTrade	FULL_SPAWN	2585.7509765625	159.6277313232422	1418.9769287109375	51	168	7	npc14b 	16	npc_trade_alchm 	6
1466	NpcTrade	FULL_SPAWN	1675.697265625	159.28456115722656	-475.6153564453125	90	169	7	npc14b 	16	npc_trade_alchm 	6
1467	NpcTrade	FULL_SPAWN	336.3515319824219	158.98916625976562	-1449.3101806640625	169	170	7	npc14b 	16	npc_trade_alchm 	6
1468	NpcTrade	FULL_SPAWN	2364.983154296875	158.90357971191406	-2075.551025390625	18	171	7	npc14b 	16	npc_trade_alchm 	6
1469	NpcTrade	FULL_SPAWN	2565.930419921875	159.9406280517578	-382.59747314453125	64	140	6	npc14 	16	npc_trade_magic 	9
146A	NpcTrade	FULL_SPAWN	1770.8458251953125	158.52210998535156	978.591064453125	111	141	6	npc14 	16	npc_trade_magic 	9
146B	NpcTrade	FULL_SPAWN	882.64501953125	159.53501892089844	-2378.032958984375	121	142	6	npc14 	16	npc_trade_magic 	9
146C	NpcTrade	FULL_SPAWN	2884.4365234375	159.78858947753906	-2008.9227294921875	55	143	6	npc14 	16	npc_trade_magic 	9
146D	NpcTrade	FULL_SPAWN	2562.573486328125	159.94752502441406	-378.7793884277344	126	172	7	npc14b 	16	npc_trade_alchm 	6
146E	NpcTrade	FULL_SPAWN	1766.1995849609375	159.34402465820312	978.0929565429688	156	173	7	npc14b 	16	npc_trade_alchm 	6
146F	NpcTrade	FULL_SPAWN	885.5142211914062	159.5301513671875	-2381.614990234375	75	174	7	npc14b 	16	npc_trade_alchm 	6
1470	NpcTrade	FULL_SPAWN	2879.260986328125	159.61399841308594	-2011.0462646484375	0	175	7	npc14b 	16	npc_trade_alchm 	6
1471	NpcTrade	FULL_SPAWN	3688.677490234375	159.60690307617188	1881.4114990234375	70	144	6	npc14 	16	npc_trade_magic 	9
1472	NpcTrade	FULL_SPAWN	1033.64208984375	159.8548126220703	-295.13580322265625	127	145	6	npc14 	16	npc_trade_magic 	9
1473	NpcTrade	FULL_SPAWN	1201.1993408203125	159.88809204101562	-3453.964111328125	35	146	6	npc14 	16	npc_trade_magic 	9
1474	NpcTrade	FULL_SPAWN	3222.17431640625	159.84353637695312	-1313.62939453125	40	147	6	npc14 	16	npc_trade_magic 	9
1475	NpcTrade	FULL_SPAWN	3684.68408203125	159.44137573242188	1883.30224609375	133	176	7	npc14b 	16	npc_trade_alchm 	6
1476	NpcTrade	FULL_SPAWN	1037.599609375	159.8262939453125	-296.911865234375	72	177	7	npc14b 	16	npc_trade_alchm 	6
1477	NpcTrade	FULL_SPAWN	1197.404052734375	159.83518981933594	-3455.316650390625	230	178	7	npc14b 	16	npc_trade_alchm 	6
1478	NpcTrade	FULL_SPAWN	3221.39404296875	159.9145965576172	-1309.7593994140625	93	179	7	npc14b 	16	npc_trade_alchm 	6
1479	NpcTrade	FULL_SPAWN	3561.48291015625	159.91650390625	2599.13671875	93	148	6	npc14 	16	npc_trade_magic 	9
1479	NpcTrade	FULL_SPAWN	3561.48291015625	159.91650390625	2599.13671875	93	148	6	npc14 	16	npc_trade_magic 	9
147A	NpcTrade	FULL_SPAWN	227.15579223632812	159.8759765625	-3309.634765625	0	149	6	npc14 	16	npc_trade_magic 	9
147B	NpcTrade	FULL_SPAWN	3561.748046875	159.58084106445312	2587.048583984375	10	180	7	npc14b 	16	npc_trade_alchm 	6
147B	NpcTrade	FULL_SPAWN	3561.748046875	159.58084106445312	2587.048583984375	10	180	7	npc14b 	16	npc_trade_alchm 	6
147C	NpcTrade	FULL_SPAWN	248.61087036132812	159.89508056640625	-3299.101806640625	171	181	7	npc14b 	16	npc_trade_alchm 	6
147D	NpcTrade	FULL_SPAWN	367.0625305175781	158.5605010986328	-1338.4791259765625	57	150	7	npc14a 	16	npc_trade_alchm 	6
147E	NpcTrade	FULL_SPAWN	2556.88671875	159.5575408935547	1317.1910400390625	137	151	7	npc14a 	16	npc_trade_alchm 	6
147F	NpcTrade	FULL_SPAWN	1886.73779296875	156.95899963378906	-427.45526123046875	145	183	7	npc14a 	16	npc_trade_alchm 	6
1480	NpcTrade	FULL_SPAWN	2338.871337890625	157.4960479736328	-2406.71142578125	60	184	7	npc14a 	16	npc_trade_alchm 	6
1481	NpcTrade	FULL_SPAWN	1847.7122802734375	157.36976623535156	55.87417221069336	192	300	6	npc08 	16	npc_trade_travl 	10
1482	NpcTrade	FULL_SPAWN	2633.51025390625	158.0957794189453	-153.7477569580078	64	301	6	npc08 	16	npc_trade_travl 	10
1483	NpcTrade	FULL_SPAWN	3068.4873046875	157.89251708984375	1053.5208740234375	0	302	6	npc08 	16	npc_trade_travl 	10
1484	NpcTrade	FULL_SPAWN	1942.70947265625	157.48629760742188	1458.1845703125	0	303	6	npc08 	16	npc_trade_travl 	10
1485	NpcTrade	FULL_SPAWN	1364.587890625	158.15480041503906	347.7640075683594	0	304	6	npc08 	16	npc_trade_travl 	10
1486	NpcTrade	FULL_SPAWN	453.4001770019531	157.46006774902344	-2132.005126953125	128	305	6	npc08 	16	npc_trade_travl 	10
1487	NpcTrade	FULL_SPAWN	965.2958984375	157.67132568359375	-1249.9310302734375	64	306	6	npc08 	16	npc_trade_travl 	10
1488	NpcTrade	FULL_SPAWN	3439.754638671875	157.5006561279297	2449.774658203125	128	307	6	npc08 	16	npc_trade_travl 	10
1489	NpcTrade	FULL_SPAWN	2149.04150390625	158.012451171875	-834.2769775390625	64	308	6	npc08 	16	npc_trade_travl 	10
148B	NpcTrade	FULL_SPAWN	3445.503662109375	157.89414978027344	-1254.6075439453125	128	309	6	npc08 	16	npc_trade_travl 	10
148C	NpcTrade	FULL_SPAWN	2063.14697265625	157.95388793945312	-3457.43115234375	0	310	6	npc08 	16	npc_trade_travl 	10
148D	NpcTrade	FULL_SPAWN	3744.980712890625	157.651611328125	735.6332397460938	0	311	6	npc08 	16	npc_trade_travl 	10
148E	NpcTrade	FULL_SPAWN	557.7260131835938	158.02589416503906	437.97174072265625	0	312	6	npc08 	16	npc_trade_travl 	10
148F	NpcTrade	FULL_SPAWN	1537.1317138671875	157.87783813476562	940.944091796875	0	313	6	npc08 	16	npc_trade_travl 	10
1490	NpcTrade	FULL_SPAWN	2465.90673828125	158.00784301757812	-1637.25830078125	0	314	6	npc08 	16	npc_trade_travl 	10
1491	NpcTrade	FULL_SPAWN	1143.58056640625	157.92210388183594	-1730.043701171875	0	315	6	npc08 	16	npc_trade_travl 	10
1492	NpcTrade	FULL_SPAWN	347.9510803222656	157.70289611816406	-3662.31298828125	0	316	6	npc08 	16	npc_trade_travl 	10
1493	NpcTrade	FULL_SPAWN	3345.9150390625	157.71630859375	-2362.337890625	0	317	6	npc08 	16	npc_trade_travl 	10
1494	NpcTrade	FULL_SPAWN	1526.0167236328125	157.9080810546875	-2344.22900390625	0	318	6	npc08 	16	npc_trade_travl 	10
14C1	NpcTrade	FULL_SPAWN	-1902.7454833984375	1102.52587890625	-3906.225830078125	192	204	7	npc29c 	16	npc_tavernkeepr 	5
14C2	NpcTrade	FULL_SPAWN	-1702.4766845703125	1102.67724609375	-3907.39111328125	212	205	7	npc29c 	16	npc_tavernkeepr 	5
14C7	NpcTrade	FULL_SPAWN	-3208.469970703125	-345.6172790527344	708.60009765625	0	335	6	npc08 	16	npc_trade_travl 	10
14CA	NpcTrade	FULL_SPAWN	-1096.150146484375	1100.9227294921875	-3892.057861328125	115	207	7	npc29c 	16	npc_tavernkeepr 	5
14CB	NpcTrade	FULL_SPAWN	-3349.87060546875	-343.4642028808594	-881.7603759765625	142	63	7	npc29b 	16	npc_trade_travl 	10
14CC	NpcTrade	FULL_SPAWN	-3353.56884765625	-343.4660949707031	-884.5891723632812	195	66	7	npc29b 	16	npc_trade_travl 	10
